Sales Document;Sales Document Item;PO;Purchase Order Date;Sold-To Party;Customer;Country;Ship to;Order Quantity;QTY not delivered;Material;Customer Material;Description;Open value;Document Currency;1. confirmed ship date;Current ship date;Information 'Current ship date';'# of Days moved;Incoterms;in transit without POD
29278316;40;PO-22-01287;27.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;158;15;362015-1000;;BTL,SQ PC 1000ML,TRAY W/O CL;963,00;EUR;16.02.2022;2022-05-18;;64;FCA;C
29278347;10;PO-22-01296;27.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;6;6;2118-0001;;"'""JAR STRTSIDE W/M PP;1OZ== EU""";372,00;EUR;16.03.2022;2022-06-08;;57;FCA;
29278347;80;PO-22-01296;27.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;10;10;AB-2005;;EasyStrip Plus /UltraClear Caps;725,30;EUR;16.03.2022;2022-06-08;;57;FCA;
29278347;100;PO-22-01296;27.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;342825-1111;;CLSR,AMB CDR,STER,PPCO,AMB11MM;154,20;EUR;08.06.2022;2022-05-25;;8-;FCA;
29278611;10;PO-22-01354;28.01.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;41;41;2019-0125;;"SQ MEDIA BTL STRL PETG;125ML EM";4.477,20;EUR;12.07.2023;;Due to unprecedented demand, we cannot provide you with an estimated shipping date at this stage.;252-;FCA;
29279216;10;PO-22-01578;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;24;24;9400327;;Finntip 10, 20x192/refill kit;3.013,20;EUR;11.05.2022;2022-05-18;;5;FCA;
29279216;70;PO-22-01578;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;17;17;94052550;;Finntip Filter 5ml, 5x54/rack, sterile;1.323,45;EUR;10.08.2022;2022-08-10;;0;FCA;
29279216;72;PO-22-01578;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;120;120;94052550;;Finntip Filter 5ml, 5x54/rack, sterile;9.342,00;EUR;24.08.2022;2022-05-18;;66-;FCA;
29279216;90;PO-22-01578;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;21;21;94056520;;Finntip Flex Filter 100ul, 10x96/rack, s;1.606,50;EUR;16.03.2022;2022-06-08;;57;FCA;
29279216;120;PO-22-01578;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;28;28;94060310;;Finntip Flex 200, 10x96/rack;1.038,24;EUR;14.12.2022;2022-05-25;;139-;FCA;
29279216;130;PO-22-01578;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;25;9;94060317;;Finntip Flex 200, 20x96/refill kit;595,35;EUR;30.11.2022;2022-11-23;;5-;FCA;C
29279216;131;PO-22-01578;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;48;48;94060317;;Finntip Flex 200, 20x96/refill kit;3.175,20;EUR;30.11.2022;2022-11-23;;5-;FCA;
29279216;190;PO-22-01578;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;29;29;94410517;;ClipTip 300 Reload, 10x96/insert;797,50;EUR;16.03.2022;2022-05-18;;44;FCA;
29279224;30;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;342820-0112;;CLSR,YELLOW CDR,STER PPC EU;302,40;EUR;30.11.2022;2022-08-17;;73-;FCA;
29279224;50;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;342820-0117;;CLSR,GOLD CODER,STER,P EU;151,20;EUR;04.05.2022;2022-06-15;;28;FCA;
29279224;60;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;342820-1110;;"CLOS, MPV,TEAL CODER, STERILE, PPCO;11MM";151,20;EUR;04.05.2022;2022-06-15;;28;FCA;
29279224;70;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;4;4;342825-0115;;"CLOS,MPV,RED CODER, STER, AMB PPCO;11 MM";614,40;EUR;04.05.2022;2022-09-14;;91;FCA;
29279224;80;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;48;48;342830-0112;;"CLOS, MPV,YELLOW CODER,HDPE; 11MM, EBEA";7.286,40;EUR;04.05.2022;2022-06-08;;23;FCA;
29279224;90;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;4;1;342830-0113;;CLSR,ORN CODER,HDPE,1 EU;151,80;EUR;04.05.2022;2022-06-15;;28;FCA;C
29279224;110;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;118;118;342830-0116;;"CLOS, MPV, BLUE CODER,HDPE; 11MM, EBEAM";17.912,40;EUR;16.02.2022;2022-06-15;;82;FCA;
29279224;170;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;108;44;362830-0116;;CLSR, W/BL CDR, HDPE,11MM== EU;6.415,20;EUR;16.02.2022;2022-06-08;;77;FCA;C
29279224;190;PO-22-01579;01.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;428;319;362830-0119;;CLSR,W/NAT CODER,HDPE,1 EU;46.510,20;EUR;10.08.2022;2022-05-11;;62-;FCA;
29279267;80;PO-22-01587;02.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;83;37;343050-0007;;Tank Liner,28L/7. EU;10.461,75;EUR;18.05.2022;2022-05-25;;5;FCA;C
29279267;120;PO-22-01587;02.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;9;9;2106-0002;;"'""BTL AMBR W/M HDPE;2OZ,60M EU""";742,50;EUR;22.06.2022;2022-08-17;;38;FCA;
29279427;20;PO-22-01580;02.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;55;55;312185-0001;;BTL PACKAGING WM AMBER 1 OZ EM;26.004,00;EUR;11.05.2022;2022-08-17;;66;FCA;
29279427;60;PO-22-01580;02.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;10;10;2019-0030;;"SQ MEDIA BTL STRL PETG;30ML EM";1.038,00;EUR;08.03.2023;;Due to unprecedented demand, we cannot provide you with an estimated shipping date at this stage.;161-;FCA;
29279427;90;PO-22-01580;02.02.2022;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1.206;1.056;2019-1000;;"'""SQ MEDIABTL STRL PETG;1000 ML EM""";137.491,20;EUR;16.11.2022;;Due to unprecedented demand, we cannot provide you with an estimated shipping date at this stage.;85;FCA;C
